Model,MSE,MAE,R2
Linear Regression,0.1255342531187758,0.2501735545639169,-0.013078624923028581
Random Forest,0.14748360841837238,0.27475497560150985,-0.19021292996265005
Gradient Boosting,0.13985054784761294,0.26061833270243756,-0.1286130851803453
