Price,Close,High,Low,Open,Volume,MA_7,MA_21,MA_50,RSI,BB_middle,BB_upper,BB_lower,MACD,MACD_signal,Volatility,Price_Change,Volume_Change,Future_Price,Price_Direction,Future_Return,Sentiment_Score
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,,,,,,,,
Datetime,,,,,,,,,,,,,,,,,,,,,
2024-08-27 17:00:00+00:00,61912.19921875,61912.19921875,61544.55859375,61573.8046875,0,62017.11049107143,62603.70200892857,63355.8303125,28.47448362031939,62573.7650390625,63563.92965849534,61583.600419629656,-413.74511214518134,-336.1833527167104,423.3146296835423,0.0051170559038833385,-1.0,62103.2734375,1,0.30862127522702104,0.4447426637117624
2024-08-27 21:00:00+00:00,60403.9609375,61923.2578125,60235.83203125,61870.55859375,1801768960,61634.95368303572,62339.77976190476,63148.5190625,16.407379561621653,62303.558984375,63642.63560426768,60964.48236448232,-485.79956025400315,-385.4120106339383,552.1527206242578,-0.02391782318861213,inf,59533.34765625,0,-1.4413181979089482,-0.3775201452022994
2024-08-27 22:00:00+00:00,59533.34765625,60338.08984375,58211.71875,60191.2578125,5234087936,61331.16294642857,62171.64415922619,63054.23109375,13.54375256600882,62130.6806640625,63914.89359374365,60346.46773438135,-631.7227722700336,-434.6743933517269,858.3837378659364,-0.014413181979089473,1.9049717539811541,59519.43359375,0,-0.023371879875361348,-0.16621178415808818
2024-08-27 23:00:00+00:00,59519.43359375,59716.38671875,59188.48046875,59379.859375,1390649344,61034.3671875,62006.33556547619,62956.04703125,13.890063443767204,61957.20546875,64039.78274579498,59874.628191705015,-739.911132821595,-495.7219696518003,1013.8974029503543,-0.0002337187987536682,-0.7343091363759617,59109.9140625,0,-0.6880433944401694,-0.1707597835708181
2024-08-28 00:00:00+00:00,59109.9140625,59407.74609375,59094.35546875,59363.85546875,875651072,60634.040736607145,61821.62016369047,62847.75125,13.743230114879964,61760.2228515625,64132.83551098972,59387.61019213529,-848.5025409887967,-566.2782951052429,1186.0362032618361,-0.006880433944401743,-0.3703293531341859,59434.9140625,1,0.5498231644464252,-0.417627127709504
2024-08-28 01:00:00+00:00,59434.9140625,59435.83203125,58966.78515625,59132.20703125,572125184,60252.84654017857,61649.493861607145,62750.124765625,17.96493009221912,61574.458203125,64067.56306519139,59081.35334105862,-898.233268097254,-632.6694486788745,1247.4159754093819,0.00549823164446428,-0.3466288087865208,59377.46484375,0,-0.09665904234266764,0.20247167012244408
2024-08-28 02:00:00+00:00,59377.46484375,59384.078125,59209.22265625,59347.32421875,354197504,59894.732700892855,61469.83947172619,62654.77046875,17.6332989735142,61404.964453125,64014.79271485923,58795.136191390775,-931.4753443682202,-692.4307422966386,1274.79927814194,-0.0009665904234267275,-0.3809090844006615,59634.77734375,1,0.4333504313077529,-0.29181489635233326
2024-08-28 03:00:00+00:00,59634.77734375,59634.77734375,59341.80859375,59341.80859375,170561536,59573.40178571428,61320.669828869046,62568.357265625,22.631734958643122,61241.71328125,63866.26235497037,58617.164207529626,-926.5475299072641,-739.2541715754602,1198.8809155768201,0.004333504313077441,-0.5184564146448644,59303.94140625,0,-0.5547701395663434,0.23499922919762806
